doy1998,date,Q_upstream,Q_downstream,inundation,inund_days,inund_factor,Q_yolo,WTmwk_downstream,WTmwk_upstream,WTmwk_yolo,sradmwk_downstream,sradmwk_upstream,sradmwk_yolo
7664,2018-12-25,13800,14300,0,0,none,80,11.016609977324272,11.190163690476187,11.04902913616309,181.24142857142857,165.6357142857143,174.6357142857143
7665,2018-12-26,16400,15400,0,0,none,70,11.013038548752842,11.113125,10.863314850448804,185.3685714285714,170.15571428571428,180.56
7666,2018-12-27,19600,17300,0,0,none,59,10.961623779946757,10.923553258145358,10.534743421877376,197.97714285714287,186.33428571428573,195.95
7667,2018-12-28,17600,15500,0,0,none,53,10.79461697722567,10.666678258145357,10.077600564734519,207.11,196.21,203.85857142857142
7668,2018-12-29,15200,12900,0,0,none,48,10.577355072463767,10.33118718671679,9.711347319475058,209.93,200.68142857142857,206.86428571428573
7669,2018-12-30,13500,11700,0,0,none,48,10.3309265010352,9.972556234335842,9.35263076618707,218.68285714285716,211.65857142857143,216.72
7670,2018-12-31,12300,11500,0,0,none,53,10.04461697722567,9.60047290100251,9.009891656750188,231.92285714285714,229.1942857142857,232.0857142857143
7671,2019-01-01,11500,7220,0,0,none,48,9.67616459627329,9.204341948621552,8.6841847974331845,232.7042857142857,230.12428571428572,231.69857142857143
7672,2019-01-02,11300,6910,0,0,none,46,9.29461697722567,8.799654448621553,8.265137178385565,234.29,231.64714285714285,233.27714285714285
7673,2019-01-03,11100,7120,0,0,none,45,8.91726190476191,8.446681547619049,8.11942289267128,236.27142857142857,233.15428571428572,234.7057142857143
7674,2019-01-04,10900,5360,0,0,none,49,8.616071428571429,8.170892857142858,7.847994321242709,234.41714285714286,238.71142857142857,241.6
7675,2019-01-05,11000,5650,0,0,none,59,8.367261904761904,8.007723214285715,7.681405349736793,223.8385714285714,227.10285714285715,229.72142857142856
7676,2019-01-06,11600,12000,0,0,none,410,8.148809523809524,7.900699404761905,7.6265115134143855,209.07857142857142,204.17857142857142,210.87285714285713
7677,2019-01-07,15000,18500,0,0,none,251,7.9875,7.847053571428571,7.6073294405852545,191.03428571428572,194.51,199.93857142857144
7678,2019-01-08,24000,18300,0,0,none,293,7.9541666666666675,7.910982142857143,7.764110540622169,178.75142857142856,186.93857142857144,186.70142857142858
7679,2019-01-09,26400,23700,0,0,none,774,8.016666666666667,8.08141369047619,8.183158159669787,157.12,167.36,166.79714285714286
7680,2019-01-10,27900,27500,0,0,none,952,8.15952380952381,8.325252976190475,8.400301016812644,148.26,152.88285714285715,148.91
7681,2019-01-11,32300,27700,0,0,none,1369,8.358928571428573,8.626934523809522,8.881410039369035,141.7,140.37714285714287,128.11285714285714
7682,2019-01-12,31100,29300,0,0,none,1669,8.616666666666669,9.04404761904762,9.238409202051697,148.77714285714285,152.6,138.40428571428572
7683,2019-01-13,27400,27300,0,0,none,1449,8.950000000000001,9.449479166666661,9.56585841950092,150.96285714285713,176.3,154.99857142857144
7684,2019-01-14,23900,22100,0,0,none,778,9.30178571428571,9.789017857142857,9.958715562358062,157.45857142857142,178.24571428571429,163.1357142857143
7685,2019-01-15,21500,18700,0,0,none,413,9.60535714285714,10.025922619047615,10.187286990929492,156.19571428571427,168.21714285714285,161.9842857142857
7686,2019-01-16,21000,20500,0,0,none,1500,9.841300366300358,10.201071428571424,10.230144133786634,157.92857142857142,163.08714285714285,158.38
7687,2019-01-17,30600,34600,0,0,none,2363,10.046657509157505,10.353258928571428,10.323001276643778,147.98714285714286,155.98142857142858,163.08142857142857
7688,2019-01-18,44100,43400,0,0,none,5469,10.237728937728939,10.484538690476185,10.5561779683731,148.07142857142858,154.73,174.18714285714285
7689,2019-01-19,49800,44900,0,0,none,4469,10.410347985347986,10.49032738095237,10.737362637362644,146.76142857142858,148.18142857142857,169.85
7690,2019-01-20,54000,47400,1,1,short,4059,10.538919413919414,10.558422619047613,10.823476702508957,144.53,134.12,157.48
7691,2019-01-21,53500,53400,1,2,short,4059,10.638919413919414,10.628675595238086,10.84489233397893,154.62714285714284,146.46,162.8385714285714
7692,2019-01-22,52300,53000,1,3,short,4119,10.713324175824171,10.710848214285715,10.878225667312257,171.79857142857142,166.4742857142857,181.59285714285716
7693,2019-01-23,51700,50900,1,4,short,4069,10.760714285714286,10.763080357142858,10.8710828101694,196.10857142857142,193.93285714285713,208.95285714285714
7694,2019-01-24,47600,48400,1,5,short,4337,10.75833333333333,10.7259375,10.785368524455114,220.40428571428572,221.65142857142857,228.28714285714287
7695,2019-01-25,41000,44900,1,6,short,4033,10.696428571428557,10.610818452380958,10.6710828101694,240.40142857142857,241.74571428571429,243.40285714285716
7696,2019-01-26,34800,39500,0,0,none,3763,10.583928571428558,10.490907738095247,10.615162955888886,252.61142857142858,254.51857142857142,256.0957142857143
7697,2019-01-27,30800,33300,0,0,none,3293,10.457142857142843,10.325863095238105,10.694429524601457,271.79714285714283,274.9814285714286,276.23
7698,2019-01-28,27700,29500,0,0,none,2783,10.356547619047614,10.226041666666676,10.80872817884577,275.4485714285714,277.8828571428571,279.12142857142857
7699,2019-01-29,24900,26700,0,0,none,2513,10.333928571428572,10.204925595238105,11.053966274083871,275.3614285714286,279.4357142857143,278.1457142857143
7700,2019-01-30,22500,24200,0,0,none,2053,10.39107142857143,10.279598214285718,11.418251988369585,263.63714285714286,279.74142857142857,276.80571428571426
